"business_name","trading_name","trade_category","website","phone","general_email","suburb","region","source_url","staff_estimate","staff_evidence","work_mix","work_mix_evidence","years_trading","abn_status","decision_maker_name","decision_maker_role","decision_maker_linkedin","signal_hiring","signal_fleet","signal_yard_or_depot","signal_commercial_projects","signal_accreditations","current_software_visible","fit_score","score_reasoning","call_angle","confidence"
"QUALITY CEILINGS (SA) PTY LTD","Quality Ceilings SA","Plastering / gyprock / ceilings & partitions","https://qualityceilings.net","0412 488 832","admin@qualityceilings.net","Piccadilly","regional (Adelaide Hills)","https://qualityceilings.net/","","""Our team of professionals have all bases covered in delivering a quality result to our construction partners"". No headcount and no named staff published.","commercial","""We specialise in commercial linings which include but not limited to suspended ceilings, steel stud partitions, & fire rated & acoustic systems.""","Site: ""a proud South Australian owned company and have been operating since 1985"" (~41 years). Current ABN entity active from 13 Mar 2018","Active - ABN 42 611 971 101, QUALITY CEILINGS (SA) PTY LTD, Australian Private Company, SA 5151","","","","N - no careers page or job ad found","","Y - ""7 Ross Rd, Piccadilly SA 5151""","N - commercial linings capability stated, no project named","","","5","+2 commercial confirmed (commercial linings specialist, fire-rated and acoustic systems); +2 SA-owned since 1985 with ""construction partners"" and a ""team of professionals"", consistent with the 8-50 band, though no headcount is published so staff_estimate left blank; +1 manual-process signal (single mobile number as the published contact, generic admin@ address, no portal or online job tracking). Owner-led claimed as ""South Australian owned"" but no owner is named (0). No named decision maker (0). No hiring ad (0). No multi-crew evidence (0).","41 years of commercial linings run from a Piccadilly base off one mobile - ask who fields the builder calls when the crews are on site, and how fire-rated system sign-offs get recorded.","medium"
"Four Corner Ceilings","Four Corner Ceilings","Plastering / gyprock / ceilings & partitions","https://fourcornerceilings.com.au","08 8281 0530","accounts@fourcornerceilings.com.au","Salisbury South","metro","https://fourcornerceilings.com.au/","","No headcount, team page or named staff published. Operates a trade counter alongside the contracting business (""Plasterboard Sales, Compounds, Insulation, Angles, Screws, Steel""), which implies premises staff in addition to installers.","mixed","""specializes in the supply of internal linings- Fix, Flush & Cornice, for the Residential and Commercial building markets""; ""We have extensive experience in Commercial jobs, including schools, hospitals, apartment buildings & more.""","Site: ""Four Corner Ceilings was established in 2007"" (~19 years). No matching ABN could be confirmed under this trading name.","","","","","N - no careers page or job ad found","","Y - ""25/1-25 Nylex Ave, Salisbury South, SA 5106"" plus ""PO Box 131"", with an on-site materials sales counter","Y - ""Commercial jobs, including schools, hospitals, apartment buildings""; no individual project named","","","4","+2 mixed commercial/residential confirmed; +1 manual-process signal (accounts@ as the only published email, landline plus mobile, no portal, quote requests handled by web form); +1 multi-site operation (contracting crews plus a materials sales counter run from the Nylex Ave premises). Staff band not evidenced so no +2 and staff_estimate left blank - no team page exists. No ABN confirmed (0 effect on score, recorded as blank). Owner-led not confirmed (0). No named decision maker (0). No hiring ad (0).","Runs contracting crews and a plasterboard sales counter off one Salisbury South site - ask how job costing separates materials sold from materials installed.","low"
"The Trustee for NOONAN FAMILY TRUST","Noonan Painting Contractors (NPC)","Painting","http://www.noonanpainting.com.au","(08) 8338 5111","admin@noonanpainting.com.au","","metro","http://www.noonanpainting.com.au/","","""NPC is a local business with strong community ties, employing and training South Australian painters and apprentices."" Also ""A Project Consultant will be in touch with you within 24 hours"", indicating dedicated estimating/consulting staff separate from the crews. No headcount published.","mixed (commercial-weighted)","""our growing client base of both commercial & residential customers""; ""Specialist Projects Including: Heritage Buldings, Aged Care Facilities, Swimming Pools""","ABN active from 05 Jun 2000 (~26 years); site: ""a trusted name in South Australia for over 20 years""","Active - ABN 24 099 144 991, NOONAN FAMILY TRUST, Discretionary Investment Trust, SA 5045","","","","N - no job ad found, but the site states they employ and train apprentices on an ongoing basis","","","Y - Port Adelaide Council Chambers; Alberton Oval; Struan House, Naracoorte; Leconfield Winery, McLaren Vale","""proud members of the Master Painters Association SA""; ""hold an accrediation with EnviroPainter""; ""fully licensed, insured for public liability""; award-winning service claimed","","7","+2 mixed commercial/residential confirmed with named commercial and heritage projects; +2 crewed operation consistent with the 8-50 band (employs and trains painters and apprentices, runs project consultants, owns scaffolding and EWP) though no headcount is published so staff_estimate left blank; +1 multi-crew / multi-capability (painting plus spray, epoxy, scaffolding and EWP run in-house, ""can also supply and coordinate additional trade services""); +1 manual-process signal (generic admin@ inbox and a 24-hour callback promise as the only intake path, no portal or online booking). Family trust structure implies family ownership but no owner is named on the site, so the owner-led +2 is not awarded (0). No named decision maker (0).","26 years, apprentices in training, own scaffold and EWP, and every job still starts with a 24-hour callback promise - ask how quotes, crews and apprentice sign-offs are tracked between the office and site.","medium"
"The Trustee for JAY DUGGIN PAINTING FAMILY TRUST","Jay Duggin Painting","Painting","http://www.jaydugginpainting.com.au","0411 354 511","info@jaydugginpainting.com.au","","metro","http://www.jaydugginpainting.com.au/","","""All work carried out by Jay Duggin staff, no outside contractors"" - confirms a directly-employed workforce. ""there is no job too big or too small for our team to handle"". No headcount published.","mixed (commercial and strata)","""Residential, Commercial & Strata""; commercial service list covers ""Office Fitouts, Schools, Shopping Centres, Protective Coatings, Nursing Homes, Retirement Villages, Pubs / Cafes / Hotels"" plus ""Maintenance Programs""","ABN active from 07 Dec 2016 (~9 years); site: ""over 10 years of experience""","Active - ABN 70 954 186 512, The Trustee for JAY DUGGIN PAINTING FAMILY TRUST, Discretionary Trading Trust, SA 5023","","","","N - no careers page or job ad found","","","Y - commercial categories named (office fitouts, schools, shopping centres, nursing homes, retirement villages, hotels); no individual project named","""proud members of the Master Painters Association of South Australian""; ""our team a variety of prestigious awards""","","7","+2 mixed commercial/strata confirmed across a broad commercial category list; +2 directly-employed crewed workforce consistent with the 8-50 band (""All work carried out by Jay Duggin staff, no outside contractors"" across painting, flooring and colour-consulting service lines) though no headcount is published so staff_estimate left blank; +2 family-owned confirmed by entity structure (JAY DUGGIN PAINTING FAMILY TRUST, trading under the founder's own name); +1 multi-crew / multi-division (painting, spray, flooring and maintenance programs run concurrently). No named decision maker published on the site (0). No hiring ad (0). No manual-process evidence (0).","Runs painting, flooring and strata maintenance programs on directly-employed staff only - ask how recurring maintenance-program visits get scheduled and proven to strata managers.","medium"
"SOUTH AUSTRALIAN PAINTING SERVICES PTY LTD","SAPS - South Australian Painting Services","Painting","https://sapaintingservices.com.au","0490 179 248","info@sapaintingservices.com.au","St Marys","metro","https://sapaintingservices.com.au/","","""his colleagues who not only work for him but work with him""; client testimonials reference ""Tristan and the team"", ""his whole team"" and ""His staff were professional and friendly"". Confirms employed staff; no headcount published.","mixed","""Industrial & commercial projects""; ""From residential, commercial spaces and strata projects right through to heritage listed buildings"". Named commercial clients include The Cumberland Arms Hotel and The Gallery.","Site: ""Established in 2016"". Pty Ltd entity ABN active from 20 Jan 2021; business name ""South Australian Painting Services"" ABN 13 015 319 898 also active, SA 5042","Active - ABN 57 647 285 256, SOUTH AUSTRALIAN PAINTING SERVICES PTY LTD, Australian Private Company, SA 5042","Tristan Baldey","Founder / Owner","","N - no careers page or job ad found","","","Y - full repaint of The Cumberland Arms Hotel (testimonial from John Waltham, Director); The Gallery (testimonial from Alex Taylor, Director)","""Tristan is now a member of the Master Painters Association of South Australia""","","6","+2 mixed commercial/industrial/strata/heritage confirmed with two named commercial clients; +2 owner-led confirmed (founder Tristan Baldey, named with his trade background and still running jobs personally); +1 named decision maker with contact path; +1 manual-process signal (single mobile number and generic info@ inbox as the only intake, no portal). Staff band not evidenced beyond ""the team"" so no +2 and staff_estimate left blank. No hiring ad (0). No multi-crew evidence (0).","Tristan still runs jobs as 'captain and coach' off one mobile - ask what happens to scheduling and quoting on the days he is on the tools.","medium"
"The Trustee for Vellotti Family Trust","Adelaide Commercial Painters (ACP)","Painting","http://www.adelaidecommercialpainters.com.au","0411 229 279","","","metro","http://www.adelaidecommercialpainters.com.au/","","""One local team for your whole project - from the preparation nobody sees to the finish everyone does."" No headcount, no named staff and no team page published.","mixed (commercial-weighted)","""Adelaide's commercial & residential painting specialists - landmarks, apartments, commercial projects and homes""; ""Commercial & residential painting across Adelaide and South Australia including interior, exterior, strata & body corporate, maintenance, protective coatings, anti-graffiti""","ABN active from 09 Apr 2003 (~23 years); site claims ""50+ Years in Business""","Active - ABN 91 196 136 997, The Trustee for Vellotti Family Trust, Discretionary Investment Trust, SA 5022 (business name ""Adelaide Commercial Painters"")","","","","N - no careers page or job ad found","","","Y - ""landmarks, apartments, commercial projects"" and a portfolio page; no individual project named","""Multi-Award-Winning Business""; ""multiple Master Painter Awards from the Master Painters Association""; ""Licensed + Insured""","","5","+2 mixed commercial/residential confirmed including strata and body corporate maintenance; +2 family-owned confirmed by entity structure (Vellotti Family Trust) and ""Proudly South Australian Owned""; +1 manual-process signal (two mobile numbers as the only published contact, no email address, no trading address, quote-by-form intake). Staff band not evidenced so no +2 and staff_estimate left blank - no team page exists. No named decision maker (0). No hiring ad (0). No multi-crew evidence (0). Note: the ""50+ Years in Business"" claim conflicts with the 2003 ABN registration; both recorded.","Commercial and strata maintenance work booked through two mobiles with no published email - ask who picks up when both are on site, and how recurring strata work gets scheduled.","low"
"ELITE PAINTING SA PTY LTD","Elite Painting SA","Painting","http://www.elitepaintingsa.com.au","(08) 7428 5483","info@elitepaintingsa.com.au","","metro","http://www.elitepaintingsa.com.au/","","""Elite Painting SA provides a team of highly experienced, professional house painters""; a customer review describes the owner ""regularly inspected the work of his painters"", confirming employed painters under supervision. No headcount published.","domestic","""Elite Painting SA has been providing Adelaide homeowners with professional painting services for more 30 years""; service content is almost entirely interior/exterior house painting. No commercial work evidenced.","ABN active from 29 Jun 2016 for the Pty Ltd (~10 years); site claims ""more 30 years""","Active - ABN 42 613 332 764, ELITE PAINTING SA PTY LTD, Australian Private Company, SA 5047","Gab Banyai","Owner","","N - no careers page or job ad found","","","N - no commercial work evidenced","""proud to be Dulux Accredited Painters""; ""our own 5 Year Workmanship Warranty""; ""all the appropriate licenses and insurances""","","4","+2 owner-led confirmed (Gab Banyai named as owner, personally inspecting crews); +1 named decision maker with contact path; +1 manual-process signal (free colour consultation with every accepted quote, phone-and-email intake, no portal). Commercial work NOT confirmed - this is a domestic repaint business, so the commercial +2 is not awarded (0) and this is the lower-value end of the profile. Staff band not evidenced so no +2 and staff_estimate left blank. No hiring ad (0). No multi-crew evidence (0).","Lower priority - domestic repaints only. Gab personally inspects every crew; the pitch is giving him that oversight without driving between jobs.","low"
"FLOORS 2 GO SA PTY LTD","Floors 2 Go","Floor laying (carpet, vinyl, laminate, hybrid, tiles - retail supply and install)","https://floors2go.net","","","Saint Agnes","metro","https://floors2go.net/about-us","6 named on the team page (installers not included in that count)","Team page names six staff with roles: ""Martin Roantree - Owner"", ""Janine Roantree - Owner"", ""Lewis Roantree - Warehouse Manager"", ""Dean Purdie - Flooring Specialist"", ""Lani Sullivan - Flooring Specialist"", ""Nicky Nicolai - Accounts Manager"". A warehouse manager role confirms held stock and a depot. Install crews are additional and not counted.","mixed (retail domestic plus a commercial product and install line)","Commercial range published as ""Commercial Flooring, Commercial Carpet, Commercial Laminate, Commercial Vinyl, Commercial Floor Preparations"", alongside a domestic range and blinds/shutters. Marketing copy is domestic-led: ""transforming your house into the home you've always dreamed of"".","ABN active from 17 Sep 2019 (~7 years); site: ""combined experience of over 80 years"" (staff experience, not trading history)","Active - ABN 24 636 266 683, FLOORS 2 GO SA PTY LTD, Australian Private Company, SA 5097 (business name ""FLOORS 2 GO SA"", ABN 63 602 847 414, also active)","Martin Roantree","Owner","","N - no careers page or job ad found","","Y - ""1/143 Tolley Road, Saint Agnes SA 5097"" with a dedicated Warehouse Manager role","N - commercial product lines published, no project named","","","5","+2 owner-led and family-owned confirmed (Martin and Janine Roantree as Owners, Lewis Roantree as Warehouse Manager; ""a family-owned, South Australian business""); +1 named decision maker with contact path; +1 multi-site operation (showroom, warehouse and install crews); +1 manual-process signal (no email address and no phone number published anywhere on the site, enquiries by web form only). Commercial work is a published product line but no commercial project or builder client is evidenced, so the commercial +2 is not awarded (0). Staff band: six named staff is below the 8-50 floor on the published count and install crews are unquantified, so no +2. FIT RISK FLAGGED: this is a retail flooring showroom that also installs, not a pure subcontractor - it sits outside the stated ICP and should be reviewed before calling.","Retail-led, so lower priority against the ICP - but three Roantrees, a warehouse and an accounts manager with no phone or email on the site suggests everything routes through the shop counter.","medium"
"ADELAIDE MPC PTY LTD","Adelaide MPC","Floor laying (mechanically polished concrete, epoxy, industrial coatings)","https://www.adelaidempc.com.au","08 8125 0686","sales@adelaidempc.com","","metro","https://www.adelaidempc.com.au/epoxy-flooring-adelaide/","","""get in touch with our friendly team at Adelaide MPC""; ""your friendly Adelaide MPC team will be in touch"". Team referenced but no headcount and no named staff published.","mixed (commercial/industrial-weighted)","""this is the perfect choice for commercial and industrial properties""; ""We refurbish new or existing concrete floors to improve the aesthetics of your property, ultimately adding appeal and value to your asset""","ABN active from 10 Feb 2021 (~5 years); site: ""With over 10 years of experience in the local construction industry""","Active - ABN 36 647 821 323, ADELAIDE MPC PTY LTD, Australian Private Company, SA 5016","","","","N - no careers page or job ad found","","","N - commercial and industrial capability stated, no project named","","","4","+2 mixed commercial/industrial confirmed; +1 manual-process signal (landline plus a sales@ inbox and a web quote form as the only intake, no portal or online booking); +1 crewed operation implied by repeated ""team"" references and mechanically polished concrete work, which is plant-heavy and cannot be done solo. Staff band not evidenced so no +2 and staff_estimate left blank - no team page exists. Owner-led not confirmed (0). No named decision maker (0). No hiring ad (0).","Plant-heavy polished concrete work with a landline and a sales@ inbox - ask how site measures, quotes and grinder scheduling move between the office and the crews.","low"
"The Trustee for VELJKO GLIGORIC FAMILY TRUST","Velo Epoxy and Polish","Floor laying (epoxy, flake, polished concrete)","https://www.veloepoxyflooring.com.au","0401 685 099","info@veloepoxyflooring.com.au","","metro","https://www.veloepoxyflooring.com.au/","","""you can trust our team to go above and beyond from start to finish"". No headcount, no named staff and no team page published.","mixed","""we offer a wide range of superior epoxy flooring services for domestic, commercial and industrial clients, Adelaide wide""; ""We've completed over 1,000+ residential, commercial and industrial epoxy flooring projects in Adelaide.""","ABN active from 03 May 2019 (~7 years)","Active - ABN 72 941 034 437 (published on the site), The Trustee for VELJKO GLIGORIC FAMILY TRUST, Discretionary Trading Trust, SA 5014","","","","N - no careers page or job ad found","","","Y - ""over 1,000+ residential, commercial and industrial epoxy flooring projects""; no individual project named","","","5","+2 mixed commercial/industrial confirmed with a 1,000+ project claim; +2 family-owned confirmed by entity structure (VELJKO GLIGORIC FAMILY TRUST) and the ABN published openly on the site; +1 manual-process signal (a single mobile number and a generic info@ inbox as the only intake, no address published, no portal). Staff band not evidenced so no +2 and staff_estimate left blank. No named decision maker published (0). No hiring ad (0). No multi-crew evidence (0).","1,000+ epoxy jobs booked through one mobile with no office address - ask who quotes and schedules when the principal is spraying.","low"
"TRUSTEE FOR BLIGHT TRADING PTY LTD & TRUSTEE FOR PEARCE TRADING PTY LTD","IMR Electrical","Electrical (commercial & industrial)","https://www.imrelectrical.com.au","(08) 8244 9696","admin@imrelectrical.com.au","Regency Park","metro","https://www.imrelectrical.com.au/","12","LinkedIn company page states ""12 employees"". Site: ""0ur team of qualified electricians can maintain, install and repair any electrical source""; ""Our team of skilled industrial electricians can help with any electrical services"".","commercial and industrial","""IMR Electrical are leading Industrial and Commercial Electricians in Adelaide. We proudly service Metro Adelaide as well as regional South Australia.""; ""As Industrial and Commercial electrical contractors in Adelaide, we have a strong focus on mission critical systems.""","ABN active from 03 Mar 2008 (~18 years)","Active - ABN 64 149 071 675, TRUSTEE FOR BLIGHT TRADING PTY LTD & TRUSTEE FOR PEARCE TRADING PTY LTD, Other Partnership, SA 5010 (trading names ""IMR Electrical"" and ""IMR ELECTRICAL PTY LTD"")","James Staude","","https://au.linkedin.com/company/imr-electrical","N - no careers page or current job ad found","","Y - ""26-28 Pambula Street, Regency Park SA 5010"" plus ""P.O. Box 174, Kilburn North SA 5084""","Y - industrial and commercial mission-critical systems work stated; no individual project named","""proudly Cm3 qualified"" (Cm3 contractor safety prequalification); licensed electricians; 24-hour emergency service","","8","+2 staff of 12 confirmed on the LinkedIn company page - squarely inside the 8-50 band; +2 commercial and industrial confirmed; +2 owner-led confirmed by entity structure (a partnership of two family trading trusts, Blight and Pearce, rather than an external shareholding); +1 named decision maker with a company-page contact path (James Staude); +1 multi-crew / multi-site (metro plus regional SA coverage, 24-hour emergency roster, dedicated Regency Park premises). No hiring ad (0). No manual-process evidence (0).","12 staff covering metro and regional SA on a 24-hour mission-critical roster - ask how after-hours callouts get dispatched and how Cm3 compliance records are kept per job.","high"
"CLEAN POWER ELECTRICAL GROUP PTY LTD","Clean Power Electrical Group (CPEG)","Electrical (commercial & solar)","https://cleanpowerelectrical.com.au","08 8398 1458","admin@cleanpowerelectrical.com.au","","metro","https://cleanpowerelectrical.com.au/commercial-electrician","","""The CPEG team is composed of qualified electricians and technicians. They each have a broad range of experience and specific skills in the solar and electrical industry. All our staff and members are trained with the latest updates of the industry standards."" Confirms employed electricians plus technicians; no headcount published.","commercial (private and government)","""a successful electrical and solar company in South Australia with major commercial projects completed for the private and government sectors""","ABN active from 24 Jun 2019 (~7 years)","Active - ABN 70 634 349 161, CLEAN POWER ELECTRICAL GROUP PTY LTD, Australian Private Company, SA 5000 (a second entity, The Trustee for Clean Power Electrical Group, ABN 73 287 686 762, is also active)","","","","N - no careers page or job ad found","","","Y - Waterloo Station Hotel Upgrade; Harbour Town Amenities Upgrade; GPA Engineering Office Upgrade","""acknowledged at both state and national Levels by the industry authority, the National Electrical Contractors Association (NECA)""; fully licensed and insured; 24-hour electrical service","","7","+2 commercial confirmed across private and government sectors with three named projects; +2 crewed operation consistent with the 8-50 band (a team of electricians plus technicians running two service lines - electrical and solar - with a 24-hour roster and NECA state and national recognition) though no headcount is published so staff_estimate left blank; +1 multi-crew / multi-division (commercial electrical and commercial solar, plus CCTV and security); +1 manual-process signal (a single landline and a generic admin@ inbox as the published intake, no portal or client login). Owner-led not confirmed (0). No named decision maker (0). No hiring ad (0).","NECA state and national recognition, government and hotel upgrades, plus a solar division - ask how CPEG keeps commercial maintenance schedules and solar installs on one board.","medium"
"H IRWIN ELECTRICAL PTY LTD","H. Irwin Electrical","Electrical (commercial)","https://hirwinelectrical.com.au","(08) 7160 3153","admin@hirwinelectrical.com.au","","metro","https://hirwinelectrical.com.au/electrical-services/commercial-electrician/","2-10 (LinkedIn band)","LinkedIn company page band: ""2-10 employees"", founded 2020, with one employee listed. NOTE: this band straddles the ICP's 8-50 floor and may fall below it - verify headcount before calling.","mixed (commercial-weighted)","""Our commercial work covers everything from electrical fitouts for new tenancies and fit-outs to ongoing maintenance, switchboard upgrades, data and network cabling, emergency and exit lighting, and after-hours emergency response.""","ABN active from 05 Aug 2020 (~6 years); LinkedIn founded year 2020","Active - ABN 58 643 151 366, H IRWIN ELECTRICAL PTY LTD, Australian Private Company, SA 5040","Hamish Irwin","Director","https://au.linkedin.com/company/h-irwin-electrical","Y (expired) - a LinkedIn job ad ""H. Irwin Electrical hiring Electrician in Greater Adelaide Area"" was indexed at https://au.linkedin.com/jobs/view/electrician-at-h-irwin-electrical-4370201262 but now redirects as an expired posting, so the vacancy is not currently live","","","Y - named commercial clients Electrolux, UGL and Australian Outdoor Living","""We're NECA-accredited, fully licensed""; work completed under a South Australian electrical contractor's licence","","5","+2 commercial confirmed with three named business clients; +1 actively hiring - a LinkedIn electrician vacancy was posted, though it has since expired, so this point is awarded on a stale signal and should be re-checked; +1 named decision maker with contact path (Hamish Irwin, Director); +1 manual-process signal (the site's own pitch is that clients are frustrated when ""a tradie quotes the job, then sends someone different to do it. That person doesn't know what was discussed"" - a handover problem they are selling against). Staff band recorded as LinkedIn's ""2-10"", which straddles the ICP floor, so the 8-50 +2 is NOT awarded and this is the main fit risk. Owner-led implied by the founder's surname in the trading name but not stated (0).","Their own marketing sells against the job-handover problem - 'the person who turns up doesn't know what was discussed'. That is the product pitch, verbatim. Confirm headcount first.","medium"
"CONNEKT PLUMBING SERVICES PTY LTD","Connekt Plumbing","Plumbing (commercial & industrial hydraulic services)","https://connektplumbing.com.au","(08) 7225 9691","ce@connektplumbing.com.au","Melrose Park","metro","https://connektplumbing.com.au/about-us/","","Site carries a ""Staff"" section and a live careers pipeline describing onboarding, mentorship and ""leadership team"" interviews - ""Meet with our leadership team to discuss your expertise and ambitions"". A distinct leadership team plus trainees indicates a layered organisation. No headcount published.","commercial and industrial","""we specialise in Tier 1 commercial and industrial plumbing solutions. Since 2015, we have delivered hydraulic, drainage, and facility management services""; ""specialising in hydraulic services installations and maintenance within the construction, hospitality and commercial industries""","Site: ""Established in 2015""; ABN entity active from 12 Feb 2019 (~7 years)","Active - ABN 56 631 604 807, CONNEKT PLUMBING SERVICES PTY LTD, Australian Private Company, SA 5039 (business name ""CONNEKT PLUMBING"", ABN 64 609 950 389, also active)","","","","Y - standing careers page with an open application form at https://connektplumbing.com.au/careers/ (""Join Our Team"", ""Apply Now To Join The Team"", ""Submit your application through our careers portal"")","","Y - ""1 Iris St, Melrose Park SA 5039, Australia""","Y - AAL Fleet Space named on the projects section; sectors listed include public works, infrastructure, stormwater and drainage","""robust safety systems"" claimed; no named certification or association membership published","","8","+2 commercial and industrial confirmed (self-described Tier 1); +2 crewed operation consistent with the 8-50 band (a separate leadership team, a structured onboarding and mentorship pipeline, and concurrent construction plus facility-management service lines) though no headcount is published so staff_estimate left blank; +2 owner-led / locally owned confirmed (""proud to be a South Australian-owned and operated contracting and maintenance business""); +1 actively hiring via a standing careers portal; +1 multi-crew / multi-division (construction, preventative maintenance and emergency call-out run concurrently). No named decision maker published (0). No manual-process evidence (0). Note: the careers page carries unedited placeholder text (""How promotion excellent curiosity yet attempted happiness""), suggesting the site was built from a template and is not closely maintained.","Running construction, planned maintenance and emergency call-outs off one team while actively recruiting - ask how a new starter learns which jobs are theirs on day one.","high"
"PLUMBING & PIPELINE SOLUTIONS (SA) PTY LTD","Plumbing & Pipeline Solutions (PPS)","Plumbing (commercial & industrial)","https://ppssa.com.au","08 8297 1000","ppssa@ppssa.com.au","Marleston","metro","https://ppssa.com.au/commercial-plumbing/","","""we have a large team of master plumbers and gasfitters you can rely on""; ""PPS has a team of plumbers certified to ensure your backflow is services to meet regulations"". Confirms a large employed team across multiple certifications; no headcount published.","commercial and industrial","""When it comes to commercial plumbing, no other company in South Australia has the level of experience you are looking for""; ""handle large-scale plumbing projects for businesses and institutions""; services include legionella solutions and backflow certification","ABN active from 20 Aug 2007 (~19 years); site: ""Our 50 years combined experience"" (staff experience, not trading history)","Active - ABN 46 127 128 214, PLUMBING & PIPELINE SOLUTIONS (SA) PTY LTD, Australian Private Company, SA 5033 (business name ""PLUMBING & PIPELINE SOLUTIONS"", ABN 80 387 284 345, also active)","","","","N - no careers page or job ad found","","Y - Marleston SA 5033","Y - ""large-scale plumbing projects for businesses and institutions""; no individual project named","Certified backflow testers on staff; legionella solutions capability; master plumbers and gasfitters","","7","+2 commercial and industrial confirmed; +2 ""a large team of master plumbers and gasfitters"" plus certified backflow specialists puts this comfortably inside the 8-50 band, though no headcount is published so staff_estimate left blank; +1 multi-crew (routine maintenance, complex installations and emergency repairs run concurrently with specialist backflow and legionella work); +1 manual-process signal (a single landline and one generic ppssa@ inbox as the published intake, no portal or client login, despite servicing institutional clients). Owner-led not confirmed (0). No named decision maker (0). No hiring ad (0).","A large certified team doing backflow and legionella compliance work for institutions, all booked through one landline - ask where the compliance test records live and how they get back to the building owner.","medium"
"S & K SYSTEMS PTY LTD","Systematic Plumbing","Plumbing (commercial construction)","https://systematicplumbing.com.au","0481 395 413","shane@systematicplumbing.com.au","","metro","https://systematicplumbing.com.au/","","""Our skilled team ensures smooth collaboration, clear communication, and attention to detail""; ""you are selecting a team focused on delivering your project's success"". Confirms a team; no headcount and no named staff published.","commercial","""Systematic Plumbing specialises in small to medium commercial plumbing construction across South Australia""; ""we collaborate closely with builders and other project partners""","Site: ""A proud South Australian family owned business, established in 2015""; ABN entity active from 07 Sep 2015 (~11 years) - the two agree","Active - ABN 83 608 080 093, S & K SYSTEMS PTY LTD, Australian Private Company, SA 5125 (business name ""Systematic Plumbing"")","Shane","","","N - no careers page or job ad found","","","Y - YWCA Apartments (7 storey women's shelter apartment block, Adelaide); 35 Henley Beach Rd (40 townhouses plus a 3 storey apartment block); Port Noarlunga Football Club; EUCA Australia Ave; Urban Climb; Goodwood Oval","","","7","+2 commercial confirmed with six named projects including multi-storey residential and civil infrastructure; +2 family-owned confirmed (""A proud South Australian family owned business, established in 2015""); +1 named decision maker with a direct contact path (Shane, via the published shane@ address); +1 manual-process signal (a single mobile number and one personal-name email as the entire published intake, tender-to-handover work coordinated without any portal); +1 multi-crew implied by concurrent multi-stage projects. Staff band not evidenced so no +2 and staff_estimate left blank. No hiring ad (0).","Six concurrent commercial builds including a 7-storey block, all coordinated through Shane's mobile and personal inbox from tender to handover - the single-point-of-failure pitch writes itself.","medium"
"ADVANCED COMMERCIAL PLUMBING PTY LTD","Advanced Commercial Plumbing (ACP)","Plumbing (commercial)","http://www.advancedcommercialplumbing.com.au","","","","metro","http://www.advancedcommercialplumbing.com.au/","","None published - the website is a single thin page with no team, staff or capability content.","commercial","Trading name and site title identify the business as commercial plumbing; no substantive work-mix content published on the site.","ABN active from 25 May 2010 (~16 years)","Active - ABN 55 143 848 355, ADVANCED COMMERCIAL PLUMBING PTY LTD, Australian Private Company, SA 5092 (trading name ""Advanced Commercial Plumbing"", ABN 18 463 195 981, SA 5126, also active)","","","","N - no careers page or job ad found","","","N - no project named","","","3","+2 commercial trade confirmed by entity name and 16 years of continuous ABN registration; +1 manual-process signal (a single thin web page with no published phone, email, team or project content - the lowest digital maturity in this batch). Staff band not evidenced so no +2 and staff_estimate left blank. Owner-led not confirmed (0). No named decision maker (0). No hiring ad (0). LOW-INFORMATION ROW: included because the entity is verified, SA-based and trading for 16 years, but almost nothing is verifiable from the business's own site - qualify by phone before working this one.","16 years trading with essentially no web presence - either very traditional or very busy. Worth a cold call to size, not a nurture sequence.","low"
